SKU,Name,Category,MSRP,Dealer Price
631145-40,12MM-1.50 SPLINE LUG BOLT 6 SIDED 40MM,Accessories,1.8,1.35
U587200573+2530,20X10.5 BASTILLE DC 5X127 H 6.75 +25,Wheels,1950.0,1462.5
U587209073+0915,20X9 BASTILLE DC 5X127 H 5.375 +09,Wheels,1950.0,1462.5
X820240061+05TR,24X10 EXOTICA 5X4.75 H 5.70 05 72.6,Wheels,1000.0,750.0
X820240061+05TL,24X10 EXOTICA 5X4.75 H 5.70 05 72.6,Wheels,1000.0,750.0
XB20240061+05TL,24X10 HYPA 5X4.75 H 5.70 05 72.6,Wheels,1000.0,750.0
XB20240061+05TR,24X10 HYPA 5X4.75 H 5.70 05 72.6,Wheels,1000.0,750.0
X820249061+01TL,24X9 EXOTICA 5X4.75 H 5.04 01 72.6,Wheels,1000.0,750.0
X820249061+01TR,24X9 EXOTICA 5X4.75 H 5.04 01 72.6,Wheels,1000.0,750.0
XB20249061+01TL,24X9 HYPA 5X4.75 H 5.04 01 72.6,Wheels,1000.0,750.0
XB20249061+01TR,24X9 HYPA 5X4.75 H 5.04 01 72.6,Wheels,1000.0,750.0
X103269073+01TL,26X9 CHINCHILLA 5X5.0 H 5.04 01 78.10,Wheels,1000.0,750.0
X103269073+01TR,26X9 CHINCHILLA 5X5.0 H 5.04 01 78.10,Wheels,1000.0,750.0
XB10269061+01TR,26X9 STATICA 5X120.7 H 5.0 01 72.6,Wheels,1000.0,750.0
XB10269061+01TL,26X9 STATICA 5X120.7 H 5.0 01 72.6,Wheels,1000.0,750.0
AF863-26905005BRRT,AF863 1PC 26X9 5X127 +5 BRUSHED RIGHT,Wheels,1230.0,922.5
AF863-26105003BRLF,AF863 2PC 26X10 5X127 +3 BRUSHED LEFT,Wheels,1230.0,922.5
AF863-26105003BRRT,AF863 2PC 26X10 5X127 +3 BRUSHED RIGHT,Wheels,1230.0,922.5
AF868-2410346NBRLF,AF868 2PC 24X10 5X4.75 -6 BRUSHED LEFT,Wheels,1135.0,851.25
AF868-2410346NBRRT,AF868 2PC 24X10 5X4.75 -6 BRUSHED RIGHT,Wheels,1135.0,851.25
AF868-24903405BRLF,AF868 2PC 24X9 5X4.75 +5 BRUSHED LEFT,Wheels,1135.0,851.25
AF868-24903405BRRT,AF868 2PC 24X9 5X4.75 +5 BRUSHED RIGHT,Wheels,1135.0,851.25
AFTJF20R80-2-20,AFW ATOM SS 22X12 6X5.5 19+GM BLK -40,Wheels,1073.0,847.67
AFTH6F94D22-5-20,AFW BRUTE SSBR 22X11 8X6.5 BLACK +0,Wheels,1311.0,1035.69
AFTJCKH11R78-1-20,AFW CORTEX CC 22X12 6X5.5 '18GM POL -55,Wheels,1260.0,995.4
AFTJCKH11F25-1-20,AFW CORTEX CC 22X12 8X170 POL -55,Wheels,1260.0,995.4
AFTJCKH11D22-1-20,AFW CORTEX CC 22X12 8X6.5 POL -55,Wheels,1260.0,995.4
AFTNCKH11R78-1-20,AFW CORTEX CC 24X12 6X5.5 '18GM POL -55,Wheels,1512.0,1194.48
AFTNCKH11F25-1-20,AFW CORTEX CC 24X12 8X170 POL -55,Wheels,1512.0,1194.48
AFTNCKH11D22-1-20,AFW CORTEX CC 24X12 8X6.5 POL -55,Wheels,1512.0,1194.48
AFTPCKH11F25-1-20,AFW CORTEX CC 24X14 8X170 POL -90,Wheels,1638.0,1294.02
AFTPCKH11D22-1-20,AFW CORTEX CC 24X14 8X6.5 POL -90,Wheels,1638.0,1294.02
AMOM54N77-58-0,AFW EVOLVE HO 24X10 5X5.5 BRSH/TCC +25,Wheels,1075.0,849.25
AFTC254R78-1-21,AFW FALLOUT FP 20X9 6X5.5 POL +0,Wheels,877.0,692.83
AFTJH37R80-1-20,AFW LOCUS SS 22X12 6X5.5 '19+ GM POL -40,Wheels,989.0,781.31
AFTJH37F25-1-20,AFW LOCUS SS 22X12 8X170 POL -40,Wheels,989.0,781.31
AFTJH37D22-1-20,AFW LOCUS SS 22X12 8X6.5 POL -40,Wheels,989.0,781.31
AFTNH37R78-1-20,AFW LOCUS SS 24X12 6X5.5 '18GM POL -40,Wheels,1134.0,895.86
AFTNH37F25-1-20,AFW LOCUS SS 24X12 8X170 POL -40,Wheels,1134.0,895.86
AFTNH37D22-1-20,AFW LOCUS SS 24X12 8X6.5 POL -40,Wheels,1134.0,895.86
AFTPH37F25-1-20,AFW LOCUS SS 24X14 8X170 POL -73,Wheels,1342.0,1060.18
AFTPH37D22-1-20,AFW LOCUS SS 24X14 8X6.5 POL -73,Wheels,1342.0,1060.18
AFTJCKH10R78-1-20,AFW NEMESIS CC 22X12 6X5.5 '18GM POL -55,Wheels,1260.0,995.4
AFTNCKH10R78-1-20,AFW NEMESIS CC 24X12 6X5.5 '18GM POL -55,Wheels,1512.0,1194.48
AFTNCKH10D22-1-20,AFW NEMESIS CC 24X12 8X6.5 POL -55,Wheels,1512.0,1194.48
AFTPCKH10F25-1-20,AFW NEMESIS CC 24X14 8X170 POL -90,Wheels,1638.0,1294.02
AFTPCKH10D22-1-20,AFW NEMESIS CC 24X14 8X6.5 POL -90,Wheels,1638.0,1294.02
AFTPCKH10D22-2-0,AFW NEMESIS SFCC 24X14 8X6.5 BLK -93,Wheels,1505.0,1188.95
AFTNH31W87-1-20,AFW SPIRIT SS 24X12 6X135 POL -40,Wheels,900.0,711.0
AFTPH31F25-1-20,AFW SPIRIT SS 24X14 8X170 POL -73,Wheels,1118.0,883.22
617P08524N15,CRAGAR 617 20X8.5 5X115 +15MM,Wheels,324.0,243.0
CX871-22054938CF,CX871 22X10.5 5X120 +38 CARBON FIBER,Wheels,1975.0,1481.25
E40-51-022-01-01,EIBACH ANTI-ROLL KIT REAR SWAY BAR ONLY,Accessories,461.0,299.65
FFDFF016G24-11-31,FF016 DL 20X10 8X180 BLACK -25,Wheels,972.0,729.0
FFPFFC029R78-1-32,FF029 CC 24X14 6x5.5 POL -93,Wheels,1215.0,911.25
FFDFF034R78-156-34,FF034 DL 20X10 8X180 FORGED POLISHED -25,Wheels,743.0,557.25
FFDFF034G24-1-34,FF034 DL 20X10 8X180 POLISH -25,Wheels,743.0,557.25
FFNFF036R78-1-34,FF036 24X12 6X5.5 RH 4.50 78.1 -40MM,Wheels,965.0,723.75
FFPFF041R78-1-34,FF041 24X14 6X5.5 RH 4.50 78.1 -76MM,Wheels,1072.0,804.0
FFCFF071M87-121-34,FF071 DL 20X9 5X135 CUSTOM +0,Wheels,993.0,744.75
DF1222207745R,FF12 22X12 6X139.7 -51 78.1 H,Wheels,822.0,616.5
DD1222829235L,FF12 22X8.25 8X200 RHL -3.17 142 -201MM,Wheels,1365.0,1023.75
DD12228292R,FF12 22X8.25 8X200 RHL -3.17 142 -201MM,Wheels,1258.0,943.5
DD1222829235R,FF12 22X8.25 8X200 RHL -3.17 142 -201MM,Wheels,1365.0,1023.75
DD12228292L,FF12 22X8.25 8X200 RHL 8.90 142.3 105MM,Wheels,1258.0,943.5
DF2122207744,FF21 22X12 6X139.7/6X5.5 78.1 H -51,Wheels,822.0,616.5
DF2622111860,FF26 22X11 8X180 01 124.3,Wheels,786.0,589.5
DE292200A845R,FF29 22X10 10X170 BL 4.50 125.1 -25MM,Wheels,1093.0,819.75
DE292200A845L,FF29 22X10 10X170 BL 4.50 125.1 -25MM,Wheels,1093.0,819.75
DD4522007545,FF45 22X10 5X127 71.5 RH -25,Wheels,1015.0,761.25
DF552282A935,FF45D 22X8.25 10X225 H -3.22 170.1 -202,Wheels,1079.0,809.25
DF482082A935,FF48D 20X8.25 10X225 H 170.1 -205MM,Wheels,1008.0,756.0
DF482082A9,FF48D 20X8.25 10X225 H 8.90 170.1 105MM,Wheels,886.0,664.5
DF5920901850L,FF59 20X9 8X180 H 5.00 124.3 01MM,Wheels,743.0,557.25
DF5920901850R,FF59 20X9 8X180 H 5.00 124.3 01MM,Wheels,743.0,557.25
SS14-008GAL,1 GALLON CHEMICAL VULCANIZING CEMENT,Accessories,68.0,51.0
U415190090+4035,19X10 CORSAIR 5X115 7.07 40 71.50,Wheels,1500.0,1125.0
F20319006152,19X10 MONTEREY 5X120.7 H 5.25 -6 72.6,Wheels,1072.0,804.0
H880192062+4135,19X12 ASCARI 5X120.7 H 8.11 41 70.6,Wheels,1000.0,750.0
F23719906150,19X9 KNUCKLE 5X120.7 H 5.00 00 72.6,Wheels,586.0,439.5
F20319906150,19X9 MONTEREY 5X120.7 H 5.00 00 72.6,Wheels,965.0,723.75
U387200573+15T,20X10.5 BASTILLE 5 5X5 6.34 15 78.10,Wheels,1375.0,1031.25
U650200561+01TL,20X10.5 PIVOT 5X4.75 5.29 01 70.30,Wheels,1375.0,1031.25
U650200561+01TR,20X10.5 PIVOT 5X4.75 5.29 01 70.30,Wheels,1375.0,1031.25
U43020126555,20X12 EL DORADO 5X4.5 P 5.50 -25 66.10,Wheels,1000.0,750.0
U387208073+01T,20X8 BASTILLE 5 5X5 4.54 01 78.10,Wheels,1225.0,918.75
U587208061+01T,20x8 BASTILLE 5X4.75 4.54 01 72.56,Wheels,1225.0,918.75
U310208061+01T,20X8 CARTEL 5 5X4.75 4.54 01 72.60,Wheels,1225.0,918.75
U331208061+01TL,20X8 FLARE 5 5X4.75 4.54 01 70.30,Wheels,1225.0,918.75
U331208061+01TR,20X8 FLARE 5 5X4.75 4.54 01 70.30,Wheels,1225.0,918.75
US7152800440S,20X8 STINGRAY 5X4.5/4.75 4.00 P -12 72.6,Wheels,1250.0,937.5
US7152800442S,20X8 STINGRAY 5X4.5/4.75 4.25 P -6 72.6,Wheels,1250.0,937.5
U43020856563,20X8.5 EL DORADO 5X4.5 P 6.30 39 66.10,Wheels,1000.0,750.0
U56720857350,20X8.5 NIMITZ 5X127 H 5.00 06 78.1,Wheels,1000.0,750.0
U310209561+01T,20X9.5 CARTEL 5 5X4.75 5.29 01 72.60,Wheels,1225.0,918.75
U331209561+01TL,20X9.5 FLARE 5 5X4.75 5.29 01 70.30,Wheels,1225.0,918.75
U331209561+01TR,20X9.5 FLARE 5 5X4.75 5.29 01 70.30,Wheels,1225.0,918.75
U650209561+01TL,20X9.5 PIVOT 5X4.75 5.29 01 70.30,Wheels,1225.0,918.75
U650209561+01TR,20X9.5 PIVOT 5X4.75 5.29 01 70.30,Wheels,1225.0,918.75
U56722107355,22X10 NIMITZ 5X127 H 5.50 06 78.1,Wheels,1000.0,750.0
U587220561+01T,22x10.5 BASTILLE 5X4.75 5.79 01 72.56,Wheels,1375.0,1031.25
U313220561+01TL,22X10.5 CHEYENNE 5 5X4.75 5.79 01 70.30,Wheels,1375.0,1031.25
U313220561+01TR,22X10.5 CHEYENNE 5 5X4.75 5.79 01 70.30,Wheels,1375.0,1031.25
